match_id,date,home_team,home_team_id,away_team,away_team_id,Home_team - Away_team
12580796,2025-03-08,AC Sparta Praha,2218,SK Slavia Praha,2216,AC Sparta Praha - SK Slavia Praha
12580787,2025-03-02,SK Slavia Praha,2216,Bohemians Praha 1905,6064,SK Slavia Praha - Bohemians Praha 1905
13152100,2025-02-26,SK Slavia Praha,2216,FC Silon Táborsko,24782,SK Slavia Praha - FC Silon Táborsko
12580775,2025-02-23,Viktoria Plzeň,4502,SK Slavia Praha,2216,Viktoria Plzeň - SK Slavia Praha
12580763,2025-02-16,SK Slavia Praha,2216,Baník Ostrava,2204,SK Slavia Praha - Baník Ostrava
12580745,2025-02-08,FK Pardubice,2230,SK Slavia Praha,2216,FK Pardubice - SK Slavia Praha
12580733,2025-02-02,SK Slavia Praha,2216,Mladá Boleslav,2224,SK Slavia Praha - Mladá Boleslav
12764047,2025-01-30,SK Slavia Praha,2216,Malmö FF,1892,SK Slavia Praha - Malmö FF
12764147,2025-01-23,PAOK,3251,SK Slavia Praha,2216,PAOK - SK Slavia Praha
13329682,2025-01-19,Philadelphia Union,39833,SK Slavia Praha,2216,Philadelphia Union - SK Slavia Praha
13339435,2025-01-15,SK Slavia Praha,2216,Raków Częstochowa,35268,SK Slavia Praha - Raków Częstochowa
12580722,2024-12-15,FK Teplice,2208,SK Slavia Praha,2216,FK Teplice - SK Slavia Praha
12764061,2024-12-12,SK Slavia Praha,2216,RSC Anderlecht,2900,SK Slavia Praha - RSC Anderlecht
12580706,2024-12-08,SK Sigma Olomouc,2207,SK Slavia Praha,2216,SK Sigma Olomouc - SK Slavia Praha
12855189,2024-12-05,Baník Ostrava,2204,SK Slavia Praha,2216,Baník Ostrava - SK Slavia Praha
12580684,2024-12-01,SK Slavia Praha,2216,FC Slovan Liberec,2219,SK Slavia Praha - FC Slovan Liberec
12764039,2024-11-28,SK Slavia Praha,2216,Fenerbahçe,3052,SK Slavia Praha - Fenerbahçe
12580665,2024-11-24,SK Dynamo České Budějovice,2221,SK Slavia Praha,2216,SK Dynamo České Budějovice - SK Slavia Praha
12580656,2024-11-10,SK Slavia Praha,2216,MFK Karviná,23951,SK Slavia Praha - MFK Karviná
12764008,2024-11-07,Eintracht Frankfurt,2674,SK Slavia Praha,2216,Eintracht Frankfurt - SK Slavia Praha
12580623,2024-11-03,FC Hradec Králové,2217,SK Slavia Praha,2216,FC Hradec Králové - SK Slavia Praha
12951997,2024-10-31,SK Benátky nad Jizerou,228538,SK Slavia Praha,2216,SK Benátky nad Jizerou - SK Slavia Praha
12580707,2024-10-27,SK Slavia Praha,2216,Dukla Praha,7739,SK Slavia Praha - Dukla Praha
12764319,2024-10-24,Athletic Club,2825,SK Slavia Praha,2216,Athletic Club - SK Slavia Praha
12580691,2024-10-20,FK Jablonec,2205,SK Slavia Praha,2216,FK Jablonec - SK Slavia Praha
12580671,2024-10-06,SK Slavia Praha,2216,AC Sparta Praha,2218,SK Slavia Praha - AC Sparta Praha
12764032,2024-10-03,SK Slavia Praha,2216,Ajax,2953,SK Slavia Praha - Ajax
12449110,2024-09-29,Bohemians Praha 1905,6064,SK Slavia Praha,2216,Bohemians Praha 1905 - SK Slavia Praha
12764230,2024-09-25,Ludogorets,43840,SK Slavia Praha,2216,Ludogorets - SK Slavia Praha
12580647,2024-09-21,SK Slavia Praha,2216,Viktoria Plzeň,4502,SK Slavia Praha - Viktoria Plzeň
12811140,2024-09-17,Mladá Boleslav,2224,SK Slavia Praha,2216,Mladá Boleslav - SK Slavia Praha
12580627,2024-09-14,Baník Ostrava,2204,SK Slavia Praha,2216,Baník Ostrava - SK Slavia Praha
12522150,2024-09-01,SK Slavia Praha,2216,FK Pardubice,2230,SK Slavia Praha - FK Pardubice
12685504,2024-08-28,SK Slavia Praha,2216,Lille,1643,SK Slavia Praha - Lille
12573549,2024-08-25,Mladá Boleslav,2224,SK Slavia Praha,2216,Mladá Boleslav - SK Slavia Praha
12684589,2024-08-20,Lille,1643,SK Slavia Praha,2216,Lille - SK Slavia Praha
12566285,2024-08-17,SK Slavia Praha,2216,FK Teplice,2208,SK Slavia Praha - FK Teplice
12584048,2024-08-13,Royale Union Saint-Gilloise,4860,SK Slavia Praha,2216,Royale Union Saint-Gilloise - SK Slavia Praha
12496950,2024-08-10,SK Slavia Praha,2216,SK Sigma Olomouc,2207,SK Slavia Praha - SK Sigma Olomouc
12584046,2024-08-07,SK Slavia Praha,2216,Royale Union Saint-Gilloise,4860,SK Slavia Praha - Royale Union Saint-Gilloise
12473974,2024-08-02,FC Slovan Liberec,2219,SK Slavia Praha,2216,FC Slovan Liberec - SK Slavia Praha
12449495,2024-07-27,SK Slavia Praha,2216,SK Dynamo České Budějovice,2221,SK Slavia Praha - SK Dynamo České Budějovice
12460620,2024-07-21,1. FC Slovácko,4871,SK Slavia Praha,2216,1. FC Slovácko - SK Slavia Praha
